Alloy ID,Alloy,"Temperature, [C]","Yield Stress, [MPa]","Ultimate Tensile Stress, [MPa]",Tensile elongation [%],Reduction area [%],Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Zr,Y
98,CPJ-12,500,637.77,723.95,19,67,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
99,CPJ-12,550,568.82,644.66,23,74,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
100,CPJ-12,550,552.48,633.4,26.1,70.1,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
101,CPJ-12,600,471,542,36,79,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
102,CPJ-12,650,378,452,37,79,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
103,CPJ-12,650,389.23,456.2,31,79.2,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
104,CPJ-13,23.9,874,1042,21,55,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
105,CPJ-13,100,846,993,18.7,54,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
106,CPJ-13,150,819,961,15.9,55,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
107,CPJ-13,200,806.69,944.58,16,57,80.655,0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,
