Alloy ID,Alloy,"Temperature, [C]","Yield Stress, [MPa]","Ultimate Tensile Stress, [MPa]",Tensile elongation [%],Reduction area [%],Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Zr,Y
373,HR61-T1,650,112.5,143,93.9,71.1,81.08,0.199,9.07,0.98,0.29,1.14,2.92,0.71,<0.010,<0.010,0.026,,3.06,0.53,<0.010,,,<0.010,,,,,,
374,HR62-T1,600,194.3,212,47.75,81.8,82.89,0.108,10.04,0.31,0.01,0.21,5.87,<0.010,<0.010,<0.010,<0.010,,0.01,0.56,<0.010,,,<0.010,,,,,,
375,HR62-T1,25,425.28,603.6,33.97,64.9,82.89,0.108,10.04,0.31,0.01,0.21,5.87,<0.010,<0.010,<0.010,<0.010,,0.01,0.56,<0.010,,,<0.010,,,,,,
376,HR62-T1,500,282.48,325.7,39.26,69.6,82.89,0.108,10.04,0.31,0.01,0.21,5.87,<0.010,<0.010,<0.010,<0.010,,0.01,0.56,<0.010,,,<0.010,,,,,,
377,HR62-T1,650,113.08,169.6,66.2,80.7,82.89,0.108,10.04,0.31,0.01,0.21,5.87,<0.010,<0.010,<0.010,<0.010,,0.01,0.56,<0.010,,,<0.010,,,,,,
378,HR63-T1,25,419.58,608.4,34.29,61.5,82.93,0.105,9.94,0.29,0.09,0.21,5.86,<0.010,<0.010,<0.010,<0.010,,0.01,0.57,<0.010,,,<0.010,,,,,,
379,HR63-T1,500,293.33,339.5,33.05,65.9,82.93,0.105,9.94,0.29,0.09,0.21,5.86,<0.010,<0.010,<0.010,<0.010,,0.01,0.57,<0.010,,,<0.010,,,,,,
380,HR63-T1,650,115.54,173.1,76.1,84.1,82.93,0.105,9.94,0.29,0.09,0.21,5.86,<0.010,<0.010,<0.010,<0.010,,0.01,0.57,<0.010,,,<0.010,,,,,,
381,HR64-T1,600,212.35,230.5,53.9,82.45,82.68,0.123,9.96,0.29,0.27,0.2,5.86,<0.010,<0.010,<0.010,<0.010,,0.02,0.59,<0.010,,,<0.010,,,,,,
382,HR66-T1,600,219.15,232.5,47.45,78.25,81.9,0.104,9.95,0.29,0.09,0.2,5.88,<0.010,<0.010,<0.010,<0.010,,1.02,0.58,<0.010,,,<0.010,,,,,,
383,HR66-T1,25,445.39,620.4,33.45,64.7,81.9,0.104,9.95,0.29,0.09,0.2,5.88,<0.010,<0.010,<0.010,<0.010,,1.02,0.58,<0.010,,,<0.010,,,,,,
384,HR66-T1,500,305.41,351.3,35.8,53.6,81.9,0.104,9.95,0.29,0.09,0.2,5.88,<0.010,<0.010,<0.010,<0.010,,1.02,0.58,<0.010,,,<0.010,,,,,,
385,HR66-T1,650,128.61,184.8,63.6,68.6,81.9,0.104,9.95,0.29,0.09,0.2,5.88,<0.010,<0.010,<0.010,<0.010,,1.02,0.58,<0.010,,,<0.010,,,,,,
386,HR67-T1,25,472.97,643.1,30.43,50.4,80.95,0.109,9.96,0.28,0.08,0.2,5.86,<0.010,<0.010,<0.010,<0.010,,2.03,0.54,<0.010,,,<0.010,,,,,,
387,HR67-T1,500,315.29,359.2,32.86,47.1,80.95,0.109,9.96,0.28,0.08,0.2,5.86,<0.010,<0.010,<0.010,<0.010,,2.03,0.54,<0.010,,,<0.010,,,,,,
388,HR67-T1,650,127.61,182.8,44,59.9,80.95,0.109,9.96,0.28,0.08,0.2,5.86,<0.010,<0.010,<0.010,<0.010,,2.03,0.54,<0.010,,,<0.010,,,,,,
389,HR68-T1,600,218.55,235,46.55,70,79.97,0.118,9.91,0.29,0.09,0.2,5.87,<0.010,<0.010,<0.010,<0.010,,2.97,0.59,<0.010,,,<0.010,,,,,,
390,HR68-T1,25,511.73,680.2,28.92,58,79.97,0.118,9.91,0.29,0.09,0.2,5.87,<0.010,<0.010,<0.010,<0.010,,2.97,0.59,<0.010,,,<0.010,,,,,,
391,HR68-T1,500,332.85,379.1,26.17,53,79.97,0.118,9.91,0.29,0.09,0.2,5.87,<0.010,<0.010,<0.010,<0.010,,2.97,0.59,<0.010,,,<0.010,,,,,,
392,HR68-T1,650,127.01,184.8,50.1,66,79.97,0.118,9.91,0.29,0.09,0.2,5.87,<0.010,<0.010,<0.010,<0.010,,2.97,0.59,<0.010,,,<0.010,,,,,,
